[2023-03-08 20:21:08,993][demo3.py][line:280][INFO] Epoch:[4/14]	 step:[50] 	 loss=0.78985	 accu=0.688 	 auc=0.895
[2023-03-08 20:21:16,568][demo3.py][line:280][INFO] Epoch:[5/0]	 step:[50] 	 loss=0.78868	 accu=0.688 	 auc=0.894
[2023-03-08 20:21:16,591][demo3.py][line:280][INFO] Epoch:[5/1]	 step:[50] 	 loss=0.77976	 accu=0.709 	 auc=0.899
[2023-03-08 20:21:16,689][demo3.py][line:280][INFO] Epoch:[5/2]	 step:[50] 	 loss=0.77834	 accu=0.711 	 auc=0.911
[2023-03-08 20:21:16,786][demo3.py][line:280][INFO] Epoch:[5/3]	 step:[50] 	 loss=0.78414	 accu=0.704 	 auc=0.900
[2023-03-08 20:21:16,974][demo3.py][line:280][INFO] Epoch:[5/4]	 step:[50] 	 loss=0.77133	 accu=0.721 	 auc=0.909
[2023-03-08 20:21:17,069][demo3.py][line:280][INFO] Epoch:[5/5]	 step:[50] 	 loss=0.77161	 accu=0.719 	 auc=0.915
[2023-03-08 20:21:17,091][demo3.py][line:280][INFO] Epoch:[5/6]	 step:[50] 	 loss=0.76969	 accu=0.720 	 auc=0.904
[2023-03-08 20:21:17,266][demo3.py][line:280][INFO] Epoch:[5/7]	 step:[50] 	 loss=0.77071	 accu=0.725 	 auc=0.904
[2023-03-08 20:21:17,369][demo3.py][line:280][INFO] Epoch:[5/8]	 step:[50] 	 loss=0.75923	 accu=0.746 	 auc=0.909
[2023-03-08 20:21:17,468][demo3.py][line:280][INFO] Epoch:[5/9]	 step:[50] 	 loss=0.76881	 accu=0.726 	 auc=0.905
[2023-03-08 20:21:17,568][demo3.py][line:280][INFO] Epoch:[5/10]	 step:[50] 	 loss=0.76622	 accu=0.733 	 auc=0.913
[2023-03-08 20:21:17,668][demo3.py][line:280][INFO] Epoch:[5/11]	 step:[50] 	 loss=0.76419	 accu=0.741 	 auc=0.907
[2023-03-08 20:21:17,698][demo3.py][line:280][INFO] Epoch:[5/12]	 step:[50] 	 loss=0.76323	 accu=0.736 	 auc=0.899
[2023-03-08 20:21:17,872][demo3.py][line:280][INFO] Epoch:[5/13]	 step:[50] 	 loss=0.76999	 accu=0.727 	 auc=0.894
[2023-03-08 20:21:17,975][demo3.py][line:280][INFO] Epoch:[5/14]	 step:[50] 	 loss=0.76228	 accu=0.736 	 auc=0.902
[2023-03-08 20:21:25,627][demo3.py][line:287][INFO] 测试 Epoch:[5/50]	 loss=0.75810	 accu=0.747 auc=0.829
[2023-03-08 20:21:33,594][demo3.py][line:280][INFO] Epoch:[6/0]	 step:[50] 	 loss=0.75761	 accu=0.748 	 auc=0.912
[2023-03-08 20:21:33,701][demo3.py][line:280][INFO] Epoch:[6/1]	 step:[50] 	 loss=0.75877	 accu=0.742 	 auc=0.906
[2023-03-08 20:21:33,869][demo3.py][line:280][INFO] Epoch:[6/2]	 step:[50] 	 loss=0.75050	 accu=0.762 	 auc=0.911
[2023-03-08 20:21:33,975][demo3.py][line:280][INFO] Epoch:[6/3]	 step:[50] 	 loss=0.75071	 accu=0.761 	 auc=0.900
[2023-03-08 20:21:34,068][demo3.py][line:280][INFO] Epoch:[6/4]	 step:[50] 	 loss=0.75535	 accu=0.750 	 auc=0.897
[2023-03-08 20:21:34,199][demo3.py][line:280][INFO] Epoch:[6/5]	 step:[50] 	 loss=0.76749	 accu=0.729 	 auc=0.898
[2023-03-08 20:21:34,286][demo3.py][line:280][INFO] Epoch:[6/6]	 step:[50] 	 loss=0.76366	 accu=0.734 	 auc=0.893
[2023-03-08 20:21:34,391][demo3.py][line:280][INFO] Epoch:[6/7]	 step:[50] 	 loss=0.75675	 accu=0.739 	 auc=0.899
[2023-03-08 20:21:34,485][demo3.py][line:280][INFO] Epoch:[6/8]	 step:[50] 	 loss=0.75627	 accu=0.744 	 auc=0.897
[2023-03-08 20:21:34,591][demo3.py][line:280][INFO] Epoch:[6/9]	 step:[50] 	 loss=0.75526	 accu=0.748 	 auc=0.895
[2023-03-08 20:21:34,689][demo3.py][line:280][INFO] Epoch:[6/10]	 step:[50] 	 loss=0.74662	 accu=0.760 	 auc=0.901
[2023-03-08 20:21:34,788][demo3.py][line:280][INFO] Epoch:[6/11]	 step:[50] 	 loss=0.75558	 accu=0.745 	 auc=0.886
[2023-03-08 20:21:34,893][demo3.py][line:280][INFO] Epoch:[6/12]	 step:[50] 	 loss=0.76290	 accu=0.735 	 auc=0.892
[2023-03-08 20:21:34,991][demo3.py][line:280][INFO] Epoch:[6/13]	 step:[50] 	 loss=0.75718	 accu=0.745 	 auc=0.893
[2023-03-08 20:21:35,169][demo3.py][line:280][INFO] Epoch:[6/14]	 step:[50] 	 loss=0.75027	 accu=0.754 	 auc=0.896
[2023-03-08 20:21:43,669][demo3.py][line:280][INFO] Epoch:[7/0]	 step:[50] 	 loss=0.74738	 accu=0.759 	 auc=0.898
[2023-03-08 20:21:43,771][demo3.py][line:280][INFO] Epoch:[7/1]	 step:[50] 	 loss=0.74619	 accu=0.760 	 auc=0.908
[2023-03-08 20:21:43,888][demo3.py][line:280][INFO] Epoch:[7/2]	 step:[50] 	 loss=0.74376	 accu=0.766 	 auc=0.904
[2023-03-08 20:21:43,981][demo3.py][line:280][INFO] Epoch:[7/3]	 step:[50] 	 loss=0.75439	 accu=0.753 	 auc=0.879
[2023-03-08 20:21:44,072][demo3.py][line:280][INFO] Epoch:[7/4]	 step:[50] 	 loss=0.74859	 accu=0.764 	 auc=0.895
[2023-03-08 20:21:44,270][demo3.py][line:280][INFO] Epoch:[7/5]	 step:[50] 	 loss=0.74725	 accu=0.755 	 auc=0.896
[2023-03-08 20:21:44,382][demo3.py][line:280][INFO] Epoch:[7/6]	 step:[50] 	 loss=0.74340	 accu=0.767 	 auc=0.898
[2023-03-08 20:21:44,485][demo3.py][line:280][INFO] Epoch:[7/7]	 step:[50] 	 loss=0.74504	 accu=0.762 	 auc=0.891
[2023-03-08 20:21:44,570][demo3.py][line:280][INFO] Epoch:[7/8]	 step:[50] 	 loss=0.73511	 accu=0.778 	 auc=0.904
[2023-03-08 20:21:44,596][demo3.py][line:280][INFO] Epoch:[7/9]	 step:[50] 	 loss=0.74175	 accu=0.772 	 auc=0.892
[2023-03-08 20:21:44,692][demo3.py][line:280][INFO] Epoch:[7/10]	 step:[50] 	 loss=0.74586	 accu=0.766 	 auc=0.889
[2023-03-08 20:21:44,789][demo3.py][line:280][INFO] Epoch:[7/11]	 step:[50] 	 loss=0.73792	 accu=0.771 	 auc=0.885
[2023-03-08 20:21:44,891][demo3.py][line:280][INFO] Epoch:[7/12]	 step:[50] 	 loss=0.74207	 accu=0.769 	 auc=0.890
[2023-03-08 20:21:44,987][demo3.py][line:280][INFO] Epoch:[7/13]	 step:[50] 	 loss=0.73372	 accu=0.782 	 auc=0.895
[2023-03-08 20:21:45,087][demo3.py][line:280][INFO] Epoch:[7/14]	 step:[50] 	 loss=0.74340	 accu=0.765 	 auc=0.886
[2023-03-08 20:21:52,785][demo3.py][line:280][INFO] Epoch:[8/0]	 step:[50] 	 loss=0.74459	 accu=0.762 	 auc=0.879
[2023-03-08 20:21:52,966][demo3.py][line:280][INFO] Epoch:[8/1]	 step:[50] 	 loss=0.73741	 accu=0.776 	 auc=0.892
[2023-03-08 20:21:52,990][demo3.py][line:280][INFO] Epoch:[8/2]	 step:[50] 	 loss=0.73572	 accu=0.780 	 auc=0.880
[2023-03-08 20:21:53,091][demo3.py][line:280][INFO] Epoch:[8/3]	 step:[50] 	 loss=0.73595	 accu=0.778 	 auc=0.885
[2023-03-08 20:21:53,194][demo3.py][line:280][INFO] Epoch:[8/4]	 step:[50] 	 loss=0.74195	 accu=0.767 	 auc=0.889
[2023-03-08 20:21:53,369][demo3.py][line:280][INFO] Epoch:[8/5]	 step:[50] 	 loss=0.74009	 accu=0.774 	 auc=0.888
[2023-03-08 20:21:53,388][demo3.py][line:280][INFO] Epoch:[8/6]	 step:[50] 	 loss=0.74109	 accu=0.769 	 auc=0.885
[2023-03-08 20:21:53,491][demo3.py][line:280][INFO] Epoch:[8/7]	 step:[50] 	 loss=0.73382	 accu=0.782 	 auc=0.884
